timestamp,probability,top_station
2023-10-02 00:00:00,0.11920292202211755,chungthang
2023-10-02 00:10:00,0.11920292202211755,chungthang
2023-10-02 00:20:00,0.11920292202211755,chungthang
2023-10-02 00:30:00,0.11920292202211755,chungthang
2023-10-02 00:40:00,0.11920292202211755,chungthang
2023-10-02 00:50:00,0.11920292202211755,chungthang
2023-10-02 01:00:00,0.11920292202211755,chungthang
2023-10-02 01:10:00,0.11920292202211755,chungthang
2023-10-02 01:20:00,0.11920292202211755,chungthang
2023-10-02 01:30:00,0.11920292202211755,chungthang
2023-10-02 01:40:00,0.11920292202211755,chungthang
2023-10-02 01:50:00,0.11920292202211755,chungthang
2023-10-02 02:00:00,0.17388092666522748,mangan
2023-10-02 02:10:00,0.2518091855527491,dikchu
2023-10-02 02:20:00,0.17879060831337945,singtam
2023-10-02 02:30:00,0.1824141732172768,lachen
2023-10-02 02:40:00,0.15344801689040857,chungthang
2023-10-02 02:50:00,0.19534606765840307,gyalshing
2023-10-02 03:00:00,0.1950500345272218,dikchu
2023-10-02 03:10:00,0.3485478340667237,gangtok
2023-10-02 03:20:00,0.25830443486709664,dikchu
2023-10-02 03:30:00,0.29474862232361015,gangtok
2023-10-02 03:40:00,0.14993291964540015,gyalshing
2023-10-02 03:50:00,0.1800462079031345,singtam
2023-10-02 04:00:00,0.22307499008909373,mangan
2023-10-02 04:10:00,0.17265326407338097,lachen
2023-10-02 04:20:00,0.27344044570800696,lachen
2023-10-02 04:30:00,0.31455119495422296,singtam
2023-10-02 04:40:00,0.1950165330899806,lachen
2023-10-02 04:50:00,0.2235465138237312,chungthang
2023-10-02 05:00:00,0.173640763814043,gyalshing
2023-10-02 05:10:00,0.24785405261865628,singtam
2023-10-02 05:20:00,0.18428590959212957,mangan
2023-10-02 05:30:00,0.21305077138159753,lachen
2023-10-02 05:40:00,0.1840688108712063,gyalshing
2023-10-02 05:50:00,0.6090103766980514,gyalshing
2023-10-02 06:00:00,0.18261783570138537,mangan
2023-10-02 06:10:00,0.2892641260638147,lachen
2023-10-02 06:20:00,0.2638344689142378,singtam
2023-10-02 06:30:00,0.20383217004374396,lachen
2023-10-02 06:40:00,0.17746397885706544,singtam
2023-10-02 06:50:00,0.2865532216657926,mangan
2023-10-02 07:00:00,0.19055499742271295,singtam
2023-10-02 07:10:00,0.22548697978716772,mangan
2023-10-02 07:20:00,0.17060735842945443,chungthang
2023-10-02 07:30:00,0.2776674072827464,dikchu
2023-10-02 07:40:00,0.17417803673007548,chungthang
2023-10-02 07:50:00,0.35578207383778854,lachen
2023-10-02 08:00:00,0.21383831329693165,mangan
2023-10-02 08:10:00,0.2676849318178003,lachen
2023-10-02 08:20:00,0.180927697547765,chungthang
2023-10-02 08:30:00,0.36130386426818967,singtam
2023-10-02 08:40:00,0.25933879712389485,chungthang
2023-10-02 08:50:00,0.24910032268084167,singtam
2023-10-02 09:00:00,0.33306420366354184,dikchu
2023-10-02 09:10:00,0.26281192239452017,chungthang
2023-10-02 09:20:00,0.17251456527472378,chungthang
2023-10-02 09:30:00,0.20350514774830702,chungthang
2023-10-02 09:40:00,0.24343003130211524,mangan
2023-10-02 09:50:00,0.26275402874025366,singtam
2023-10-02 10:00:00,0.15584248334075623,gangtok
2023-10-02 10:10:00,0.27823160358887683,chungthang
2023-10-02 10:20:00,0.5116881928569191,gyalshing
2023-10-02 10:30:00,0.2579640166483288,singtam
2023-10-02 10:40:00,0.19851383741350195,singtam
2023-10-02 10:50:00,0.25793388799685535,gyalshing
2023-10-02 11:00:00,0.20188621823884126,lachen
2023-10-02 11:10:00,0.24483661929195502,singtam
2023-10-02 11:20:00,0.204061220604314,lachen
2023-10-02 11:30:00,0.19987128620635544,dikchu
2023-10-02 11:40:00,0.3058170338053954,gangtok
2023-10-02 11:50:00,0.2746415406161702,chungthang
2023-10-02 12:00:00,0.18324527011638736,gyalshing
2023-10-02 12:10:00,0.5077254125517694,gangtok
2023-10-02 12:20:00,0.2127077774795602,gangtok
2023-10-02 12:30:00,0.2367078681129257,dikchu
2023-10-02 12:40:00,0.1691618177130265,mangan
2023-10-02 12:50:00,0.199936102590448,singtam
2023-10-02 13:00:00,0.24357112113790383,mangan
2023-10-02 13:10:00,0.18688320616186724,dikchu
2023-10-02 13:20:00,0.19211412371108572,singtam
2023-10-02 13:30:00,0.25634175695974204,mangan
2023-10-02 13:40:00,0.21741531398462927,gangtok
2023-10-02 13:50:00,0.5873267766351186,gangtok
2023-10-02 14:00:00,0.18735937303774317,mangan
2023-10-02 14:10:00,0.1968938604728398,dikchu
2023-10-02 14:20:00,0.2430091992790485,lachen
2023-10-02 14:30:00,0.23718753226582018,gangtok
2023-10-02 14:40:00,0.1899008512737717,chungthang
2023-10-02 14:50:00,0.23609433753972817,singtam
2023-10-02 15:00:00,0.18986252902298692,chungthang
2023-10-02 15:10:00,0.19363618601139726,mangan
2023-10-02 15:20:00,0.15569145865482337,singtam
2023-10-02 15:30:00,0.35027977197121135,dikchu
2023-10-02 15:40:00,0.20684109789464203,mangan
